exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_079;Тяга штанги к подбородку;плечи передняя дельта;Средняя дельта / трапеция;Тяга к подбородку;тяга к подбородку;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_053;Тяга штанги к поясу;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_143;Удержание веса;грудь;Грудные / стабилизаторы;Удержание;удержание;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_130;Французский жим в смитте;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_141;Французский жим гантели стоя;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_162;Французский жим лежа;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_159;Французский жим с гантелями;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_139;Французский жим стоя;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_190;Фронтальные махи с гантелями;плечи;Передняя дельта;Сгибание плеча;сгибание плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_080;Фронтальные махи со штангой стоя;плечи передняя дельта;Передняя дельта;Сгибание плеча;сгибание плеча;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_038;Фронтальные приседания;ноги;Квадрицепс;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_115;Ягодицы в тренажере;ягодицы;Большая ягодичная;Разгибание бедра;разгибание бедра;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_112;Ягодицы с канатом в кроссовере;ягодицы;Большая ягодичная;Разгибание бедра;разгибание бедра;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_005;Ягодичный мост в смитте;ягодицы;Большая ягодичная;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_118;Ягодичный мост в тренажере;ягодицы;Большая ягодичная;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_116;Ягодичный мост на полу;ягодицы;Большая ягодичная;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_045;Ягодичный мост со штангой;ягодицы;Большая ягодичная;Разгибание таза;разгибание таза;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_157;G-жим;трицепс;Трицепс;Разгибание локтя;разгибание локтя;data_quality;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
